Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check,predicted_log_sigma,predicted_sigma
Li6.450Al0.10La3Zr1.75Nb0.25O12,6.45,Al,0.1,Nb,0.25,Al+Nb,0.0,-3.507727738335437,0.0003106506464265652
Li6.400Al0.10La3Zr1.70Sb0.30O12,6.4,Al,0.1,Sb,0.3,Al+Sb,0.0,-3.508733080442551,0.0003099323573714788
Li6.300Al0.15La3Zr1.75Nb0.25O12,6.3,Al,0.15,Nb,0.25,Al+Nb,0.0,-3.511231252580533,0.00030815466552162207
Li6.250Al0.15La3Zr1.70Nb0.30O12,6.25,Al,0.15,Nb,0.3,Al+Nb,0.0,-3.5113607080014826,0.00030806282381373506
Li6.300Al0.15La3Zr1.75Ta0.25O12,6.3,Al,0.15,Ta,0.25,Al+Ta,0.0,-3.5129768118487017,0.00030691858561100624
Li6.300Al0.10La3Zr1.60Sb0.40O12,6.3,Al,0.1,Sb,0.4,Al+Sb,0.0,-3.5138223506634993,0.0003063216194348523
Li6.350Al0.15La3Zr1.80Nb0.20O12,6.35,Al,0.15,Nb,0.2,Al+Nb,0.0,-3.5167974299236806,0.0003042303731231794
Li6.350Al0.15La3Zr1.80Ta0.20O12,6.35,Al,0.15,Ta,0.2,Al+Ta,0.0,-3.523824184619289,0.00029934762399562974
Li6.150Al0.15La3Zr1.60Sb0.40O12,6.15,Al,0.15,Sb,0.4,Al+Sb,0.0,-3.5341382284216185,0.0002923221818818671
Li6.300Al0.10La3Zr1.80W0.20O12,6.3,Al,0.1,W,0.2,Al+W,-0.0,-3.5382627248727614,0.0002895591380248346
Li6.150Al0.15La3Zr1.80W0.20O12,6.15,Al,0.15,W,0.2,Al+W,0.0,-3.539277276271839,0.0002888834910431539
Li6.500Al0.10La3Zr1.80Nb0.20O12,6.5,Al,0.1,Nb,0.2,Al+Nb,0.0,-3.5427463114447293,0.00028658515381037184
